2016-01-10 17:38:30,298 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/test/resources
2016-01-11 22:47:47,626 [Worker-154] ERROR o.e.m.c.i.URLConnectionCaches - Unexpected URLConnection defaultUseCaches enabled
2016-01-11 22:48:01,393 [Worker-156] ERROR o.e.m.c.i.URLConnectionCaches - Unexpected URLConnection defaultUseCaches enabled
2016-01-11 22:48:03,824 [Worker-156] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.hiring.tomcat:com.hiring.tomcat:0.0.1-SNAPSHOT @ /home/lucky/Documents/practice/com.hiring.tomcat/pom.xml.
2016-01-11 22:48:05,149 [Worker-156] ERROR o.e.m.c.i.URLConnectionCaches - Unexpected URLConnection defaultUseCaches enabled
2016-01-11 22:48:05,395 [Worker-156] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-11 22:48:05,395 [Worker-156] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/main/resources
2016-01-11 22:48:05,400 [Worker-156] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-11 22:48:05,400 [Worker-156] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/test/resources
2016-01-11 22:48:09,575 [Worker-153] ERROR o.e.m.c.i.URLConnectionCaches - Unexpected URLConnection defaultUseCaches enabled
2016-01-11 22:48:09,588 [Worker-153] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-11 22:48:09,589 [Worker-153] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/main/resources
2016-01-11 22:48:09,591 [Worker-153] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-11 22:48:09,591 [Worker-153] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/lucky/Documents/practice/com.hiring.tomcat/src/test/resources
2016-01-11 22:55:33,610 [Worker-158] ERROR o.e.m.c.i.URLConnectionCaches - Unexpected URLConnection defaultUseCaches enabled
